id,name,category,stock,price
b1115ca5-38be-44f5-8be5-30ec7d629550,Manzanas Fuji,Frutas,120,2500
9f64af14-779e-401d-a636-e44151036ebe,Bananas,Frutas,200,1800
980a3ab5-aefa-4593-85b7-7bd87eb59f6a,Peras Williams,Frutas,90,2700
1affa79c-24d3-49f9-9657-b9db9a5e2b1a,Tomates Cherry,Verduras,150,3200
2922ab68-d171-418c-b1f0-5ac91ba82ee8,Lechuga,Verduras,0,1500
eac8c8d5-7679-47bd-acdd-dbd562b351ee,Zanahorias,Verduras,110,1900
1970b6d6-5f78-4c9d-bbe1-92a213374740,Papa Negra,Verduras,250,1300
2ffac2c9-3fc5-4f91-ad56-107a3af36f37,Cebolla,Verduras,0,1600
460d1347-c512-4ab4-b619-07b9e063f589,Pan Integral,Panadería,50,3800
85bd4ae6-4e22-4fbc-a1f7-d80fd971888a,Medialunas,Panadería,60,2200
098d618b-69c0-4c2a-ac19-b644a7765f4c,Galletas de Avena,Panadería,75,2900
ff754c5a-ab4d-4a5e-8e83-92a4e1f20f19,Arroz Blanco,Granos,140,2400
a8ba1c79-a80a-42b0-8835-ab609ebe7b88,Lentejas,Granos,100,3000
2d4077e2-8c58-4a11-b0f7-f8add46bfdfd,Harina 0000,Granos,130,1700
060062bd-b3f7-4ca7-b144-f0a3190bc5a9,Aceite de Girasol,Aceites,45,5500
61917974-b644-4701-8964-fa588369464a,Aceite de Oliva,Aceites,30,9800
4d7d9fab-e888-4203-9a3f-5c741dcf20be,Leche Entera,Lácteos,90,2100
ac563c54-acf8-449f-b3d4-1882b9d65a31,Queso Cremoso,Lácteos,70,4600
38244faf-8c6a-4e2b-a8a0-bb9c8b72299b,Yogur Natural,Lácteos,65,3400
a3ffb6dc-a69d-4930-b696-19f2c4130755,Manteca,Lácteos,5,3900